ID,Condition_number,Target_Screen,Flanker_Screen,Fixation_Screen,Target_Flanker_Spacing_in_deg,CircSD_deg
Exp1_S3,9,mid,far,mid,5,35.5613038409824
Exp1_S3,10,mid,far,mid,2.5,40.0372162233589
Exp1_S3,11,mid,far,mid,1.25,16.2937897127345
Exp1_S3,12,mid,far,mid,0.625,42.0323599930679
Exp1_S3,13,mid,no flankers,mid,Inf,14.516588732334
Exp1_S4,1,mid,mid,mid,5,14.2485428638213
Exp1_S4,2,mid,mid,mid,2.5,12.1730437407531
Exp1_S4,3,mid,mid,mid,1.25,32.7541141239791
Exp1_S4,4,mid,mid,mid,0.625,47.6592515789779
Exp1_S4,5,mid,near,mid,5,58.6633802858246
Exp1_S4,6,mid,near,mid,2.5,25.488495417548
Exp1_S4,7,mid,near,mid,1.25,19.5828215279164
Exp1_S4,8,mid,near,mid,0.625,44.5560423777654
Exp1_S4,9,mid,far,mid,5,28.1109005702575
Exp1_S4,10,mid,far,mid,2.5,20.8276717864148
Exp1_S4,11,mid,far,mid,1.25,55.5390337262319
Exp1_S4,12,mid,far,mid,0.625,50.6333843196137
Exp1_S4,13,mid,no flankers,mid,Inf,16.0537204495831
Exp1_S5,1,mid,mid,mid,5,11.0699795349494
Exp1_S5,2,mid,mid,mid,2.5,9.74983905968533
Exp1_S5,3,mid,mid,mid,1.25,14.5562356523953
Exp1_S5,4,mid,mid,mid,0.625,16.1761958520848
Exp1_S5,5,mid,near,mid,5,20.5773870790199
Exp1_S5,6,mid,near,mid,2.5,9.75114701573205
Exp1_S5,7,mid,near,mid,1.25,12.4830091237264
Exp1_S5,8,mid,near,mid,0.625,11.8975257044012
Exp1_S5,9,mid,far,mid,5,14.0934376805704
Exp1_S5,10,mid,far,mid,2.5,19.9279811046723
Exp1_S5,11,mid,far,mid,1.25,13.2461981125285
Exp1_S5,12,mid,far,mid,0.625,NaN
Exp1_S5,13,mid,no flankers,mid,Inf,19.3729774651564
Exp1_S6,1,mid,mid,mid,5,44.528469149996
Exp1_S6,2,mid,mid,mid,2.5,50.7247501066563
Exp1_S6,3,mid,mid,mid,1.25,49.2781973618472
Exp1_S6,4,mid,mid,mid,0.625,87.9195616246808
Exp1_S6,5,mid,near,mid,5,111.87316116532
Exp1_S6,6,mid,near,mid,2.5,99.8378613142878
Exp1_S6,7,mid,near,mid,1.25,74.4780089971158
Exp1_S6,8,mid,near,mid,0.625,73.9536068139655
Exp1_S6,9,mid,far,mid,5,54.9473438795732
Exp1_S6,10,mid,far,mid,2.5,52.4717880055536
Exp1_S6,11,mid,far,mid,1.25,84.8110689943048
Exp1_S6,12,mid,far,mid,0.625,112.700383929886
Exp1_S6,13,mid,no flankers,mid,Inf,27.2401908335448
Exp1_S7,1,mid,mid,mid,5,10.741503562022
Exp1_S7,2,mid,mid,mid,2.5,25.5874079725924
Exp1_S7,3,mid,mid,mid,1.25,34.11510943648
Exp1_S7,4,mid,mid,mid,0.625,59.1381200614747
Exp1_S7,5,mid,near,mid,5,19.8242301740034
Exp1_S7,6,mid,near,mid,2.5,19.8278661191231
Exp1_S7,7,mid,near,mid,1.25,18.7728795038385
Exp1_S7,8,mid,near,mid,0.625,41.912110824746
Exp1_S7,9,mid,far,mid,5,10.4623670996504
Exp1_S7,10,mid,far,mid,2.5,36.6063763716463
Exp1_S7,11,mid,far,mid,1.25,74.5540343030661
Exp1_S7,12,mid,far,mid,0.625,55.9249014828304
Exp1_S7,13,mid,no flankers,mid,Inf,16.4274823689384
Exp1_S8,1,mid,mid,mid,5,17.7807684596364
Exp1_S8,2,mid,mid,mid,2.5,22.087170974775
Exp1_S8,3,mid,mid,mid,1.25,14.8227756303955
Exp1_S8,4,mid,mid,mid,0.625,74.4884719699641
Exp1_S8,5,mid,near,mid,5,21.0142082964478
Exp1_S8,6,mid,near,mid,2.5,21.5667306288877
Exp1_S8,7,mid,near,mid,1.25,37.6083745156879
Exp1_S8,8,mid,near,mid,0.625,61.3003554294389
Exp1_S8,9,mid,far,mid,5,21.0231738843714
Exp1_S8,10,mid,far,mid,2.5,33.7790490525534
Exp1_S8,11,mid,far,mid,1.25,45.7254691333517
Exp1_S8,12,mid,far,mid,0.625,48.0490383735083
Exp1_S8,13,mid,no flankers,mid,Inf,15.9762877139222
Exp1_S9,1,mid,mid,mid,5,23.8302545072311
Exp1_S9,2,mid,mid,mid,2.5,18.5764787519833
Exp1_S9,3,mid,mid,mid,1.25,14.2705014212507
Exp1_S9,4,mid,mid,mid,0.625,25.7021664204253
Exp1_S9,5,mid,near,mid,5,26.1342835944566
Exp1_S9,6,mid,near,mid,2.5,38.918759543691
Exp1_S9,7,mid,near,mid,1.25,16.4955744876552
Exp1_S9,8,mid,near,mid,0.625,78.612219002267
Exp1_S9,9,mid,far,mid,5,36.7713806363658
Exp1_S9,10,mid,far,mid,2.5,75.1171662740207
Exp1_S9,11,mid,far,mid,1.25,72.7467990404568
Exp1_S9,12,mid,far,mid,0.625,31.8463702389311
Exp1_S9,13,mid,no flankers,mid,Inf,22.7077566639247
